날짜,홈 팀,원정 팀,홈 팀 득점,원정 팀 득점,경기 결과,홈 승 배당률,무승부 배당률,원정 승 배당률
2024/12/04,뉴캐슬 유나이티드 FC,리버풀 FC,3,3,D,4.2,4.0,1.75
2024/12/04,사우샘프턴 FC,첼시 FC,1,5,A,8.5,5.25,1.33
2024/12/04,아스널 FC,맨체스터 유나이티드 FC,2,0,H,1.44,4.5,7.0
2024/12/04,아스톤 빌라 FC,브렌트포드 FC,3,1,H,1.8,3.75,4.33
2024/12/05,풀럼 FC,브라이튼 앤 호브 알비온 FC,3,1,H,2.35,3.6,2.88
2024/12/05,본머스 FC,토트넘 홋스퍼 FC,1,0,H,2.63,3.75,2.45
2024/12/07,아스톤 빌라 FC,사우샘프턴 FC,1,0,H,1.36,5.5,7.0
2024/12/07,브렌트포드 FC,뉴캐슬 유나이티드 FC,4,2,H,2.88,3.75,2.3
2024/12/07,크리스탈 팰리스 FC,맨체스터 시티 FC,2,2,D,5.5,4.2,1.57
2024/12/07,맨체스터 유나이티드 FC,노팅엄 포레스트 FC,2,3,A,1.65,3.9,5.25
2024/12/08,풀럼 FC,아스널 FC,1,1,D,5.0,4.33,1.6
2024/12/08,입스위치 타운 FC,본머스 FC,1,2,A,3.5,3.75,2.0
2024/12/08,레스터 시티 FC,브라이튼 앤 호브 알비온 FC,2,2,D,4.5,3.8,1.73
2024/12/08,토트넘 홋스퍼 FC,첼시 FC,3,4,A,3.4,3.9,2.0
2024/12/09,웨스트 햄 유나이티드 FC,울버햄튼 원더러스 FC,2,1,H,1.9,3.9,3.75
2024/12/14,아스널 FC,에버튼 FC,0,0,D,1.22,6.5,12.0
2024/12/14,리버풀 FC,풀럼 FC,2,2,D,1.33,5.5,8.0
2024/12/14,뉴캐슬 유나이티드 FC,레스터 시티 FC,4,0,H,1.3,6.0,8.5
2024/12/14,울버햄튼 원더러스 FC,입스위치 타운 FC,1,2,A,1.9,3.8,3.8
2024/12/14,노팅엄 포레스트 FC,아스톤 빌라 FC,2,1,H,2.63,3.3,2.7
2024/12/15,브라이튼 앤 호브 알비온 FC,크리스탈 팰리스 FC,1,3,A,1.85,3.8,3.9
2024/12/15,맨체스터 시티 FC,맨체스터 유나이티드 FC,1,2,A,1.57,4.5,5.0
2024/12/15,첼시 FC,브렌트포드 FC,2,1,H,1.33,6.0,7.5
2024/12/15,사우샘프턴 FC,토트넘 홋스퍼 FC,0,5,A,4.33,4.5,1.67
2024/12/16,본머스 FC,웨스트 햄 유나이티드 FC,1,1,D,1.7,4.0,4.75
2024/12/21,아스톤 빌라 FC,맨체스터 시티 FC,2,1,H,3.25,3.7,2.1
2024/12/21,브렌트포드 FC,노팅엄 포레스트 FC,0,2,A,2.3,3.6,2.9
2024/12/21,입스위치 타운 FC,뉴캐슬 유나이티드 FC,0,4,A,4.75,3.75,1.73
2024/12/21,웨스트 햄 유나이티드 FC,브라이튼 앤 호브 알비온 FC,1,1,D,2.88,3.7,2.35
2024/12/21,크리스탈 팰리스 FC,아스널 FC,1,5,A,6.25,4.2,1.55
2024/12/22,에버튼 FC,첼시 FC,0,0,D,5.0,4.2,1.62
2024/12/22,풀럼 FC,사우샘프턴 FC,0,0,D,1.42,4.75,7.0
2024/12/22,레스터 시티 FC,울버햄튼 원더러스 FC,0,3,A,2.55,3.4,2.7
2024/12/22,맨체스터 유나이티드 FC,본머스 FC,0,3,A,1.8,3.8,4.2
2024/12/22,토트넘 홋스퍼 FC,리버풀 FC,3,6,A,4.5,4.0,1.73
2024/12/26,맨체스터 시티 FC,에버튼 FC,1,1,D,1.33,5.5,7.5
2024/12/26,본머스 FC,크리스탈 팰리스 FC,0,0,D,1.9,3.8,3.8
2024/12/26,첼시 FC,풀럼 FC,1,2,A,1.48,4.75,6.0
2024/12/26,뉴캐슬 유나이티드 FC,아스톤 빌라 FC,3,0,H,1.91,3.8,3.75
2024/12/26,노팅엄 포레스트 FC,토트넘 홋스퍼 FC,1,0,H,2.3,3.75,2.88
2024/12/26,사우샘프턴 FC,웨스트 햄 유나이티드 FC,0,1,A,3.25,3.5,2.2
2024/12/26,울버햄튼 원더러스 FC,맨체스터 유나이티드 FC,2,0,H,3.9,3.7,1.91
2024/12/26,리버풀 FC,레스터 시티 FC,3,1,H,1.08,12.0,23.0
2024/12/27,브라이튼 앤 호브 알비온 FC,브렌트포드 FC,0,0,D,1.62,4.33,4.75
2024/12/27,아스널 FC,입스위치 타운 FC,1,0,H,1.14,9.0,15.0
2024/12/29,레스터 시티 FC,맨체스터 시티 FC,0,2,A,7.5,5.5,1.36
2024/12/29,크리스탈 팰리스 FC,사우샘프턴 FC,2,1,H,1.57,3.9,5.5
2024/12/29,에버튼 FC,노팅엄 포레스트 FC,0,2,A,2.6,3.2,2.8
2024/12/29,풀럼 FC,본머스 FC,2,2,D,2.3,3.6,2.88
2024/12/29,토트넘 홋스퍼 FC,울버햄튼 원더러스 FC,2,2,D,1.6,5.0,4.2
2024/12/29,웨스트 햄 유나이티드 FC,리버풀 FC,0,5,A,7.0,5.0,1.4
2024/12/30,아스톤 빌라 FC,브라이튼 앤 호브 알비온 FC,2,2,D,1.9,3.8,3.6
2024/12/30,입스위치 타운 FC,첼시 FC,2,0,H,6.5,4.75,1.42
2024/12/30,맨체스터 유나이티드 FC,뉴캐슬 유나이티드 FC,0,2,A,2.75,3.5,2.55
2025/01/01,브렌트포드 FC,아스널 FC,1,3,A,6.5,4.75,1.44
2025/01/04,토트넘 홋스퍼 FC,뉴캐슬 유나이티드 FC,1,2,A,2.88,3.8,2.25
2025/01/04,아스톤 빌라 FC,레스터 시티 FC,2,1,H,1.33,5.5,8.5
2025/01/04,본머스 FC,에버튼 FC,1,0,H,1.73,3.75,4.75
2025/01/04,크리스탈 팰리스 FC,첼시 FC,1,1,D,3.8,3.75,1.91
2025/01/04,맨체스터 시티 FC,웨스트 햄 유나이티드 FC,4,1,H,1.3,6.25,7.5
2025/01/04,사우샘프턴 FC,브렌트포드 FC,0,5,A,3.0,3.4,2.4
2025/01/04,브라이튼 앤 호브 알비온 FC,아스널 FC,1,1,D,4.33,3.75,1.8
2025/01/05,풀럼 FC,입스위치 타운 FC,2,2,D,1.55,4.2,5.75
2025/01/05,리버풀 FC,맨체스터 유나이티드 FC,2,2,D,1.29,6.25,8.0
2025/01/06,울버햄튼 원더러스 FC,노팅엄 포레스트 FC,0,3,A,3.3,3.2,2.3
2025/01/14,브렌트포드 FC,맨체스터 시티 FC,2,2,D,4.75,4.2,1.62
2025/01/14,첼시 FC,본머스 FC,2,2,D,1.48,4.75,6.0
2025/01/14,웨스트 햄 유나이티드 FC,풀럼 FC,3,2,H,3.0,3.4,2.38
2025/01/14,노팅엄 포레스트 FC,리버풀 FC,1,1,D,5.25,4.1,1.62
2025/01/15,에버튼 FC,아스톤 빌라 FC,0,1,A,3.25,3.2,2.3
2025/01/15,레스터 시티 FC,크리스탈 팰리스 FC,0,2,A,3.9,3.6,1.91
2025/01/15,뉴캐슬 유나이티드 FC,울버햄튼 원더러스 FC,3,0,H,1.36,5.5,8.0
2025/01/15,아스널 FC,토트넘 홋스퍼 FC,2,1,H,1.4,5.25,7.0
2025/01/16,입스위치 타운 FC,브라이튼 앤 호브 알비온 FC,0,2,A,3.9,3.7,1.91
2025/01/16,맨체스터 유나이티드 FC,사우샘프턴 FC,3,1,H,1.29,6.0,9.5
2025/01/18,뉴캐슬 유나이티드 FC,본머스 FC,1,4,A,1.62,4.2,5.0
2025/01/18,브렌트포드 FC,리버풀 FC,0,2,A,6.5,5.0,1.42
2025/01/18,레스터 시티 FC,풀럼 FC,0,2,A,4.33,3.7,1.8
2025/01/18,웨스트 햄 유나이티드 FC,크리스탈 팰리스 FC,0,2,A,2.6,3.5,2.63
2025/01/18,아스널 FC,아스톤 빌라 FC,2,2,D,1.5,4.1,7.0
2025/01/19,에버튼 FC,토트넘 홋스퍼 FC,3,2,H,2.8,3.5,2.45
2025/01/19,맨체스터 유나이티드 FC,브라이튼 앤 호브 알비온 FC,1,3,A,2.1,3.6,3.3
2025/01/19,노팅엄 포레스트 FC,사우샘프턴 FC,3,2,H,1.38,4.75,8.0
2025/01/19,입스위치 타운 FC,맨체스터 시티 FC,0,6,A,7.5,5.25,1.36
2025/01/20,첼시 FC,울버햄튼 원더러스 FC,3,1,H,1.36,5.75,6.5
2025/01/25,본머스 FC,노팅엄 포레스트 FC,5,0,H,2.05,3.7,3.4
2025/01/25,브라이튼 앤 호브 알비온 FC,에버튼 FC,0,1,A,1.67,3.75,5.5
2025/01/25,리버풀 FC,입스위치 타운 FC,4,1,H,1.08,12.0,15.0
2025/01/25,사우샘프턴 FC,뉴캐슬 유나이티드 FC,1,3,A,6.5,5.25,1.42
2025/01/25,울버햄튼 원더러스 FC,아스널 FC,0,1,A,7.0,4.5,1.45
2025/01/25,맨체스터 시티 FC,첼시 FC,3,1,H,2.05,4.0,3.3
2025/01/26,크리스탈 팰리스 FC,브렌트포드 FC,1,2,A,2.05,3.75,3.3
2025/01/26,토트넘 홋스퍼 FC,레스터 시티 FC,1,2,A,1.45,5.5,5.5
2025/01/26,아스톤 빌라 FC,웨스트 햄 유나이티드 FC,1,1,D,1.53,4.33,5.75
2025/01/26,풀럼 FC,맨체스터 유나이티드 FC,0,1,A,2.3,3.4,3.1
2025/02/01,노팅엄 포레스트 FC,브라이튼 앤 호브 알비온 FC,7,0,H,2.38,3.5,2.8
2025/02/01,본머스 FC,리버풀 FC,0,2,A,4.5,4.33,1.67
2025/02/01,에버튼 FC,레스터 시티 FC,4,0,H,1.75,3.75,4.5
2025/02/01,입스위치 타운 FC,사우샘프턴 FC,1,2,A,1.95,3.6,3.8
2025/02/01,뉴캐슬 유나이티드 FC,풀럼 FC,1,2,A,1.7,4.0,4.75
2025/02/01,울버햄튼 원더러스 FC,아스톤 빌라 FC,2,0,H,3.3,3.6,2.1
2025/02/02,브렌트포드 FC,토트넘 홋스퍼 FC,0,2,A,2.1,3.9,3.2
2025/02/02,맨체스터 유나이티드 FC,크리스탈 팰리스 FC,0,2,A,2.0,3.5,3.8
2025/02/02,아스널 FC,맨체스터 시티 FC,5,1,H,1.95,3.5,4.0
2025/02/03,첼시 FC,웨스트 햄 유나이티드 FC,2,1,H,1.36,4.75,8.0
2025/02/12,에버튼 FC,리버풀 FC,2,2,D,7.5,4.5,1.44
2025/02/14,브라이튼 앤 호브 알비온 FC,첼시 FC,3,0,H,2.7,3.6,2.45
2025/02/15,레스터 시티 FC,아스널 FC,0,2,A,8.5,5.0,1.33
2025/02/15,아스톤 빌라 FC,입스위치 타운 FC,1,1,D,1.4,4.75,7.0
2025/02/15,풀럼 FC,노팅엄 포레스트 FC,2,1,H,2.2,3.4,3.3
2025/02/15,맨체스터 시티 FC,뉴캐슬 유나이티드 FC,4,0,H,1.95,4.2,3.3
2025/02/15,사우샘프턴 FC,본머스 FC,1,3,A,6.0,4.5,1.5
2025/02/15,웨스트 햄 유나이티드 FC,브렌트포드 FC,0,1,A,2.35,3.6,2.88
2025/02/15,크리스탈 팰리스 FC,에버튼 FC,1,2,A,1.8,3.4,5.0
2025/02/16,리버풀 FC,울버햄튼 원더러스 FC,2,1,H,1.15,8.0,12.0
2025/02/16,토트넘 홋스퍼 FC,맨체스터 유나이티드 FC,1,0,H,2.45,3.75,2.62
2025/02/19,아스톤 빌라 FC,리버풀 FC,2,2,D,3.9,4.0,1.83
2025/02/21,레스터 시티 FC,브렌트포드 FC,0,4,A,3.6,3.8,1.91
2025/02/22,에버튼 FC,맨체스터 유나이티드 FC,2,2,D,2.5,3.2,2.9
2025/02/22,아스널 FC,웨스트 햄 유나이티드 FC,0,1,A,1.27,6.0,10.0
2025/02/22,본머스 FC,울버햄튼 원더러스 FC,0,1,A,1.53,4.5,5.5
2025/02/22,풀럼 FC,크리스탈 팰리스 FC,0,2,A,2.05,3.4,3.7
2025/02/22,입스위치 타운 FC,토트넘 홋스퍼 FC,1,4,A,4.1,3.6,1.9
2025/02/22,사우샘프턴 FC,브라이튼 앤 호브 알비온 FC,0,4,A,6.0,4.1,1.55
2025/02/22,아스톤 빌라 FC,첼시 FC,2,1,H,2.63,3.4,2.6
2025/02/23,뉴캐슬 유나이티드 FC,노팅엄 포레스트 FC,4,3,H,1.8,3.8,4.2
2025/02/23,맨체스터 시티 FC,리버풀 FC,0,2,A,2.88,3.8,2.25
2025/02/25,브라이튼 앤 호브 알비온 FC,본머스 FC,2,1,H,2.0,3.8,3.3
2025/02/25,크리스탈 팰리스 FC,아스톤 빌라 FC,4,1,H,2.45,3.4,2.8
2025/02/25,울버햄튼 원더러스 FC,풀럼 FC,1,2,A,2.63,3.3,2.63
2025/02/25,첼시 FC,사우샘프턴 FC,4,0,H,1.17,8.0,13.0
2025/02/26,브렌트포드 FC,에버튼 FC,1,1,D,2.0,3.7,3.5
2025/02/26,맨체스터 유나이티드 FC,입스위치 타운 FC,3,2,H,1.53,4.33,6.0
2025/02/26,노팅엄 포레스트 FC,아스널 FC,0,0,D,3.9,3.6,1.95
2025/02/26,토트넘 홋스퍼 FC,맨체스터 시티 FC,0,1,A,3.25,4.0,2.0
2025/02/26,리버풀 FC,뉴캐슬 유나이티드 FC,2,0,H,1.5,4.5,5.75
2025/02/27,웨스트 햄 유나이티드 FC,레스터 시티 FC,2,0,H,1.62,4.2,5.0
2025/03/08,노팅엄 포레스트 FC,맨체스터 시티 FC,1,0,H,4.0,3.75,1.85
2025/03/08,브라이튼 앤 호브 알비온 FC,풀럼 FC,2,1,H,1.95,3.6,3.75
2025/03/08,크리스탈 팰리스 FC,입스위치 타운 FC,1,0,H,1.45,4.75,6.25
2025/03/08,리버풀 FC,사우샘프턴 FC,3,1,H,1.1,9.0,19.0
2025/03/08,브렌트포드 FC,아스톤 빌라 FC,0,1,A,2.2,3.8,2.9
2025/03/08,울버햄튼 원더러스 FC,에버튼 FC,1,1,D,2.6,3.1,2.88
2025/03/09,첼시 FC,레스터 시티 FC,1,0,H,1.18,8.0,12.0
2025/03/09,토트넘 홋스퍼 FC,본머스 FC,2,2,D,2.7,3.9,2.35
2025/03/09,맨체스터 유나이티드 FC,아스널 FC,1,1,D,5.75,3.5,1.7
2025/03/10,웨스트 햄 유나이티드 FC,뉴캐슬 유나이티드 FC,0,1,A,3.25,3.4,2.2
2025/03/15,에버튼 FC,웨스트 햄 유나이티드 FC,1,1,D,2.05,3.2,3.9
2025/03/15,입스위치 타운 FC,노팅엄 포레스트 FC,2,4,A,3.75,3.5,2.0
